Controller,Score,Mutations
0,333,61
1,357,1
2,390,3
3,338,6
4,370,3
5,390,8
6,361,1
7,352,5
8,364,9
9,329,8
10,352,1
11,337,6
12,357,12
13,333,14
14,353,5
15,337,6
16,387,6
17,328,16
18,342,0
19,339,1
20,349,7
21,388,6
22,376,3
23,348,2
24,349,1
25,346,1
26,369,4
27,342,0
28,353,4
29,364,8
30,341,2
31,377,11
32,355,2
33,353,11
34,344,10
35,385,6
36,366,4
37,348,1
38,335,10
39,341,4
40,342,4
41,337,3
42,374,18
43,355,2
44,329,37
45,359,5
46,334,4
47,324,64
48,377,8
49,371,0
50,367,1
51,356,7
52,333,15
53,361,2
54,332,1
55,388,3
56,363,4
57,342,11
58,364,3
59,370,5
60,369,3
61,346,16
62,352,1
63,332,8
64,386,5
65,336,15
66,385,4
67,356,4
68,352,8
69,343,3
70,335,7
71,349,9
72,344,14
73,362,4
74,343,12
75,352,5
76,394,2
77,361,6
78,361,6
79,349,5
80,372,1
81,351,3
82,333,9
83,362,8
84,331,11
85,344,3
86,328,57
87,333,7
88,336,20
89,372,8
90,331,8
91,367,1
92,356,10
93,353,1
94,366,4
95,332,7
96,344,12
97,329,8
98,334,7
99,388,6
100,331,7
101,367,9
102,381,7
103,349,5
104,340,6
105,343,1
106,331,14
107,333,7
108,339,7
109,362,0
110,334,4
111,336,13
112,369,1
113,335,8
114,337,2
115,356,5
116,371,2
117,370,5
118,329,1
119,360,3
120,341,4
121,343,2
122,331,4
123,327,19
124,363,3
125,374,0
126,340,4
127,346,24
128,344,2
129,334,2
130,329,7
131,350,2
132,331,4
133,338,3
134,328,12
135,362,3
136,387,0
137,353,7
138,357,12
139,363,2
140,375,2
141,371,14
142,332,1
143,354,3
144,333,6
145,375,2
146,379,1
147,371,2
148,339,8
149,383,1
150,341,8
151,344,5
152,348,4
153,363,3
154,350,6
155,335,4
156,334,6
157,362,6
158,345,7
159,362,0
160,395,2
161,380,8
162,348,1
163,337,1
164,332,9
165,339,4
166,381,4
167,356,2
168,329,13
169,334,6
170,336,3
171,337,2
172,350,1
173,343,11
174,341,2
175,379,1
176,338,12
177,373,5
178,364,10
179,330,7
180,355,5
181,379,9
182,376,0
183,364,3
184,342,12
185,335,4
186,358,12
187,345,5
188,351,2
189,355,10
190,335,11
191,331,4
192,335,5
193,330,1
194,369,3
195,349,1
196,330,5
197,370,2
198,353,6
199,332,12
200,358,7
201,335,15
202,356,3
203,333,5
204,358,8
205,332,4
206,364,1
207,340,5
208,329,5
209,366,3
210,332,7
211,352,6
212,346,11
213,330,8
214,331,24
215,353,2
216,350,6
217,347,2
218,358,3
219,348,12
220,340,9
221,333,6
222,329,5
223,331,7
224,384,1
225,336,4
226,353,2
227,356,2
228,373,8
229,371,3
230,376,2
231,342,2
232,376,4
233,353,2
234,374,5
235,331,4
236,345,9
237,339,8
238,360,5
239,340,9
240,344,4
241,376,10
242,332,20
243,357,8
244,329,2
245,358,7
246,335,5
247,342,4
248,339,7
249,370,4
250,359,11
251,385,5
252,364,0
253,354,8
254,356,4
255,346,3
256,331,3
257,350,1
258,332,8
259,363,5
260,343,13
261,376,2
262,334,20
263,335,29
264,342,2
265,354,13
266,349,7
267,355,3
268,347,1
269,405,2
270,336,12
271,331,1
272,377,3
273,353,5
274,357,8
275,394,5
276,359,4
277,344,8
278,376,7
279,330,1
280,331,3
281,351,4
282,347,7
283,360,1
284,354,15
285,339,6
286,331,20
287,348,6
288,335,17
289,333,11
290,330,5
291,337,7
292,330,20
293,354,4
294,360,6
295,357,7
296,341,8
297,332,14
298,335,14
299,353,6
300,328,6
301,341,4
302,333,1
303,349,13
304,339,6
305,384,7
306,371,1
307,382,2
308,341,2
309,348,15
310,345,6
311,372,2
312,378,1
313,340,8
314,333,11
315,377,7
316,353,4
317,331,11
318,351,4
319,332,5
320,366,1
321,347,1
322,367,6
323,337,4
324,368,7
325,377,1
326,350,3
327,330,4
328,330,5
329,340,11
330,332,14
331,356,7
332,332,2
333,378,4
334,358,2
335,347,4
336,357,24
337,360,3
338,376,12
339,329,4
340,331,3
341,399,5
342,333,3
343,330,15
344,338,10
345,336,6
346,368,6
347,332,5
348,357,13
349,366,11
350,369,7
351,359,6
352,328,5
353,343,7
354,331,9
355,395,5
356,368,7
357,329,13
358,329,6
359,361,4
360,348,11
361,375,2
362,329,8
363,371,7
364,345,10
365,346,1
366,333,3
367,355,9
368,341,3
369,355,2
370,334,20
371,356,7
372,383,3
373,330,9
374,337,8
375,368,0
376,352,2
377,373,2
378,348,8
379,350,14
380,332,5
381,356,4
382,346,4
383,361,13
384,346,4
385,333,11
386,351,5
387,337,11
388,376,6
389,391,6
390,335,6
391,352,3
392,341,5
393,362,5
394,332,3
395,334,10
396,336,7
397,368,2
398,348,2
399,330,7
400,342,3
401,366,6
402,349,8
403,370,1
404,349,3
405,368,3
406,333,5
407,365,3
408,336,3
409,336,6
410,333,7
411,336,9
412,337,4
413,386,7
414,353,3
415,360,3
416,363,6
417,356,5
418,354,4
419,348,4
420,353,11
421,339,3
422,346,0
423,339,5
424,375,13
425,348,4
426,351,7
427,392,4
428,329,15
429,343,7
430,339,4
431,328,18
432,365,5
433,363,3
434,343,5
435,405,6
436,348,3
437,346,4
438,338,1
439,344,6
440,367,4
441,329,9
442,335,17
443,340,6
444,369,9
445,361,9
446,350,3
447,356,9
448,332,4
449,354,6
450,365,8
451,329,3
452,345,1
453,330,1
454,347,8
455,349,3
456,335,13
457,373,5
