Generation,Best,Mean,Low
0,413,10.9989,0
1,413,13.0732,0
2,413,15.6661,0
3,413,17.926,0
4,413,20.4847,0
5,413,23.2066,0
6,413,26.3486,0
7,413,29.9079,0
8,413,33.8929,0
9,413,38.178,0
10,413,43.298,0
11,413,49.1505,0
12,413,55.8757,0
13,413,63.6682,0
14,413,71.6645,0
15,413,79.903,0
16,413,86.8034,0
17,413,92.404,0
18,413,97.1923,0
19,413,100.647,0
20,413,108.811,0
21,413,120.537,0
22,413,133.314,0
23,413,151.846,0
24,413,176.828,0
25,413,208.213,0
26,413,227.527,0
27,413,238.508,0
28,413,245.431,0
29,414,250.361,0
30,414,255.669,0
31,414,260.481,0
32,414,266.086,0
33,414,268.091,0
34,414,270.664,0
35,414,273.147,0
36,414,274.77,0
37,414,277.243,0
38,414,278.787,0
39,414,281.682,0
40,414,283.712,0
41,416,283.44,0
42,416,285.708,0
43,416,287.513,0
44,416,287.988,0
45,416,289.685,0
46,416,292.079,0
47,416,292.951,0
48,416,294.31,0
49,416,295.023,0
50,416,296.473,0
51,416,297.257,0
52,416,298.276,0
53,416,298.478,0
54,416,299.178,0
55,416,300.732,0
56,416,301.515,0
57,416,303.772,0
58,416,303.111,0
59,416,303.185,0
60,416,304.556,0
61,416,304.58,0
62,416,304.592,0
63,416,305.163,0
64,416,305.02,0
65,416,305.926,0
66,416,305.193,0
67,416,305.893,0
68,416,304.478,0
69,416,306.089,0
70,416,305.471,0
71,416,306.469,0
72,416,306.778,0
73,416,308.448,0
74,416,307.271,0
75,416,305.554,0
76,416,307.078,0
77,416,306.861,0
78,416,307.644,0
79,416,307.792,0
80,416,310.473,0
81,416,308.508,0
82,416,307.782,0
83,416,307.919,0
84,416,308.393,0
85,416,307.267,0
86,416,310.224,0
87,416,308.466,0
88,416,307.861,0
89,416,308.595,0
90,416,308.808,0
91,416,315.18,0
92,416,310.624,0
93,416,309.964,0
94,416,310.085,0
95,416,309.746,0
96,416,309.43,0
97,416,311.273,0
98,416,311.217,0
99,416,312.375,0
100,416,312.92,0
101,416,312.214,0
102,416,313.827,0
103,416,313.638,0
104,416,312.506,0
105,416,313.087,0
106,416,310.987,0
107,416,313.063,0
108,416,315.75,0
109,416,311.141,0
110,416,311.501,0
111,416,311.92,0
112,416,312.119,0
113,416,319.279,0
114,416,311.269,0
115,416,311.81,0
116,416,313.149,0
117,416,312.899,0
118,416,312.869,0
119,416,313.214,0
120,416,313.126,0
121,416,313.576,0
122,416,312.378,0
123,416,312.913,0
124,416,314.158,0
125,416,314.585,0
126,416,313.886,0
127,416,316.415,0
128,416,312.756,0
129,416,312.874,0
130,416,314.319,0
131,416,313.79,0
132,416,312.603,0
133,416,315.23,0
134,416,312.818,0
135,416,315.335,0
136,416,315.497,0
137,416,313.672,0
138,416,313.743,0
139,416,320.598,0
140,416,312.315,0
141,416,313.096,0
142,416,313.335,0
143,416,314.623,0
144,416,313.539,0
145,417,313.444,0
146,417,315.342,0
147,417,314.24,0
148,417,314.484,0
149,417,315.068,0
150,417,321.22,0
151,417,314.432,0
152,417,313.187,0
153,417,313.645,0
154,417,312.362,0
155,417,315.156,0
156,417,315.116,0
157,417,315.031,0
158,417,317.253,0
159,417,316.677,0
160,417,315.344,0
161,417,319.853,0
162,417,314.124,0
163,417,316.209,0
164,417,315.109,0
165,417,314.587,0
166,417,316.885,0
167,417,320.573,0
168,417,316.096,0
169,417,316.101,0
170,417,319.579,0
171,417,316.564,0
172,417,315.751,0
173,417,314.383,0
174,417,321.632,0
175,417,314.221,0
176,417,314.179,0
177,417,314.039,0
178,417,314.603,0
179,417,321.066,0
180,417,314.358,0
181,417,313.346,0
182,417,318.491,0
183,417,314.551,0
184,417,318.916,0
185,417,315.124,0
186,417,317.001,0
187,417,318.165,0
188,417,323.482,0
189,417,314.18,0
190,417,313.617,0
191,417,313.954,0
192,417,313.682,0
193,417,315.633,0
194,417,315.617,0
195,417,315.65,0
196,417,319.767,0
197,417,313.274,0
198,417,314.019,0
199,417,315.166,0
200,417,317.098,0
201,417,317.208,0
202,417,323.037,0
203,417,314.547,0
204,418,314.899,0
205,418,314.171,0
206,418,316.617,0
207,418,315.523,0
208,418,315.259,0
209,418,322.415,0
210,418,315.37,0
211,418,317.914,0
212,418,317.962,0
213,418,319.841,0
214,418,315.913,0
215,418,322.921,0
216,418,314.771,0
217,418,318.586,0
218,418,316.65,0
219,418,316.027,0
220,418,314.367,0
221,418,316.304,0
222,418,323.157,0
223,418,316.478,0
224,418,315.223,0
225,418,316.453,0
226,418,316.299,0
227,418,315.873,0
228,418,321.925,0
229,418,316.012,0
230,418,317.204,0
231,418,317.616,0
232,418,318.678,0
233,418,323.868,0
234,418,315.443,0
235,418,317.136,0
236,418,320.341,0
237,418,316.111,0
238,418,316.318,0
239,418,322.287,0
240,418,316.569,0
241,418,318.711,0
242,420,324.548,0
243,420,315.207,0
244,420,315.467,0
245,420,315.575,0
246,420,314.656,0
247,420,316.276,0
248,420,316.932,0
249,420,319.635,0
250,420,319.052,0
251,420,317.808,0
252,420,318.031,0
253,420,320.886,0
254,420,316.213,0
255,420,316.772,0
256,420,319.823,0
257,420,317.309,0
258,420,322.667,0
259,420,315.542,0
260,420,317.415,0
261,420,319.951,0
262,420,317.826,0
263,420,316.984,0
264,420,323.331,0
265,420,314.409,0
266,420,315.557,0
267,420,315.498,0
268,420,317.512,0
269,420,316.667,0
270,420,320.127,0
271,420,325.123,0
272,420,315.631,0
273,420,315.921,0
274,420,314.714,0
275,420,315.697,0
276,420,315.615,0
277,420,316.022,0
278,420,317.179,0
279,420,318.883,0
280,420,317.656,0
281,420,318.279,0
282,420,319.924,0
283,420,317.047,0
284,420,315.329,0
285,420,320.853,0
286,420,316.048,0
287,420,316.739,0
