Controller,Rule,Input Variable 1,Input Set 1,Modifier,Input Variable 2,Input Set 2,Output Value
0,0,0,0,AND,1,0,6.14002
0,1,0,0,AND,1,1,1.91137
0,2,0,0,AND,1,2,8.0398
0,3,0,1,AND,1,0,6.50533
0,4,0,1,AND,1,1,2.53609
0,5,0,1,AND,1,2,1.42308
0,6,0,2,AND,1,0,0.432752
0,7,0,2,AND,1,1,1.00314
0,8,0,2,AND,1,2,7.29728
1,0,0,0,AND,1,0,6.14002
1,1,0,0,AND,1,1,1.91137
1,2,0,0,AND,1,2,8.0398
1,3,0,1,AND,1,0,6.50533
1,4,0,1,AND,1,1,2.53609
1,5,0,1,AND,1,2,1.42308
1,6,0,2,AND,1,0,0.432752
1,7,0,2,AND,1,1,1.00314
1,8,0,2,AND,1,2,4.56771
2,0,0,0,AND,1,0,6.14002
2,1,0,0,AND,1,1,1.91137
2,2,0,0,AND,1,2,8.0398
2,3,0,1,AND,1,0,6.50533
2,4,0,1,AND,1,1,2.53609
2,5,0,1,AND,1,2,1.42308
2,6,0,2,AND,1,0,7.98425
2,7,0,2,AND,1,1,0.280465
2,8,0,2,AND,1,2,0.028077
3,0,0,0,AND,1,0,6.14002
3,1,0,0,AND,1,1,1.91137
3,2,0,0,AND,1,2,8.0398
3,3,0,1,AND,1,0,6.50533
3,4,0,1,AND,1,1,2.53609
3,5,0,1,AND,1,2,1.42308
3,6,0,2,AND,1,0,0.432752
3,7,0,2,AND,1,1,1.54118
3,8,0,2,AND,1,2,5.92425
4,0,0,0,AND,1,0,6.14002
4,1,0,0,AND,1,1,1.91137
4,2,0,0,AND,1,2,8.0398
4,3,0,1,AND,1,0,6.50533
4,4,0,1,AND,1,1,2.53609
4,5,0,1,AND,1,2,1.42308
4,6,0,2,AND,1,0,0.432752
4,7,0,2,AND,1,1,0.280465
4,8,0,2,AND,1,2,4.08155
5,0,0,0,AND,1,0,6.14002
5,1,0,0,AND,1,1,1.91137
5,2,0,0,AND,1,2,8.0398
5,3,0,1,AND,1,0,6.50533
5,4,0,1,AND,1,1,2.53609
5,5,0,1,AND,1,2,1.42308
5,6,0,2,AND,1,0,0.432752
5,7,0,2,AND,1,1,0.777612
5,8,0,2,AND,1,2,0.168462
6,0,0,0,AND,1,0,8.40175
6,1,0,0,AND,1,1,2.87301
6,2,0,0,AND,1,2,9.03867
6,3,0,1,AND,1,0,9.19217
6,4,0,1,AND,1,1,3.61034
6,5,0,1,AND,1,2,3.3607
6,6,0,2,AND,1,0,9.05362
6,7,0,2,AND,1,1,0.280465
6,8,0,2,AND,1,2,1.48198
7,0,0,0,AND,1,0,6.14002
7,1,0,0,AND,1,1,1.91137
7,2,0,0,AND,1,2,8.0398
7,3,0,1,AND,1,0,6.50533
7,4,0,1,AND,1,1,2.53609
7,5,0,1,AND,1,2,1.42308
7,6,0,2,AND,1,0,0.432752
7,7,0,2,AND,1,1,1.00314
7,8,0,2,AND,1,2,5.61571
8,0,0,0,AND,1,0,6.14002
