Controller,Input,Set,Height,CentreX,Left Base,Right Base,Left Top,Right Top
0,0,0,1,0,0,419,0,222
0,0,1,1,500,365,385,200,200
0,0,2,1,1000,387,0,227,0
0,1,0,1,-30,0,24,0,9
0,1,1,1,0,21,21,12,14
0,1,2,1,30,24,0,12,0
1,0,0,1,0,0,419,0,222
1,0,1,1,500,365,385,200,200
1,0,2,1,1000,387,0,227,0
1,1,0,1,-30,0,24,0,9
1,1,1,1,0,21,21,12,14
1,1,2,1,30,24,0,12,0
2,0,0,1,0,0,419,0,222
2,0,1,1,500,331,419,200,200
2,0,2,1,1000,387,0,227,0
2,1,0,1,-30,0,24,0,9
2,1,1,1,0,21,21,12,14
2,1,2,1,30,24,0,12,0
3,0,0,1,0,0,419,0,227
3,0,1,1,500,365,385,200,200
3,0,2,1,1000,387,0,227,0
3,1,0,1,-30,0,24,0,9
3,1,1,1,0,21,21,12,14
3,1,2,1,30,24,0,12,0
4,0,0,1,0,0,412,0,156
4,0,1,1,500,365,359,188,234
4,0,2,1,1000,435,0,216,0
4,1,0,1,-30,0,24,0,9
4,1,1,1,0,21,21,12,14
4,1,2,1,30,24,0,12,0
5,0,0,1,0,0,419,0,222
5,0,1,1,500,354,396,200,200
5,0,2,1,1000,387,0,227,0
5,1,0,1,-30,0,24,0,9
5,1,1,1,0,21,21,12,14
5,1,2,1,30,24,0,12,0
6,0,0,1,0,0,407,0,184
6,0,1,1,500,408,425,126,185
6,0,2,1,1000,343,0,208,0
6,1,0,1,-30,0,21,0,9
6,1,1,1,0,25,23,10,12
6,1,2,1,30,25,0,12,0
7,0,0,1,0,0,386,0,207
7,0,1,1,500,432,417,225,198
7,0,2,1,1000,410,0,224,0
7,1,0,1,-30,0,24,0,9
7,1,1,1,0,21,21,12,14
7,1,2,1,30,26,0,12,0
8,0,0,1,0,0,412,0,156
8,0,1,1,500,365,359,188,234
8,0,2,1,1000,435,0,216,0
8,1,0,1,-30,0,24,0,9
8,1,1,1,0,19,19,12,14
8,1,2,1,30,24,0,12,0
9,0,0,1,0,0,386,0,207
9,0,1,1,500,432,417,225,198
9,0,2,1,1000,410,0,224,0
9,1,0,1,-30,0,24,0,9
9,1,1,1,0,21,21,12,14
9,1,2,1,30,26,0,12,0
10,0,0,1,0,0,407,0,179
10,0,1,1,500,408,425,126,185
10,0,2,1,1000,371,0,208,0
10,1,0,1,-30,0,22,0,14
10,1,1,1,0,24,26,11,13
10,1,2,1,30,26,0,13,0
11,0,0,1,0,0,407,0,179
11,0,1,1,500,408,425,126,185
11,0,2,1,1000,340,0,208,0
11,1,0,1,-30,0,23,0,11
11,1,1,1,0,26,23,13,14
11,1,2,1,30,25,0,11,0
12,0,0,1,0,0,419,0,222
12,0,1,1,500,365,385,200,200
12,0,2,1,1000,387,0,227,0
12,1,0,1,-30,0,24,0,9
12,1,1,1,0,21,21,12,14
12,1,2,1,30,24,0,12,0
13,0,0,1,0,0,419,0,222
13,0,1,1,500,365,385,200,200
13,0,2,1,1000,387,0,180,0
13,1,0,1,-30,0,24,0,9
13,1,1,1,0,21,21,12,14
13,1,2,1,30,24,0,12,0
14,0,0,1,0,0,407,0,184
14,0,1,1,500,408,425,126,185
14,0,2,1,1000,343,0,208,0
14,1,0,1,-30,0,23,0,11
14,1,1,1,0,26,23,13,14
14,1,2,1,30,26,0,11,0
15,0,0,1,0,0,419,0,222
15,0,1,1,500,365,385,200,200
15,0,2,1,1000,387,0,227,0
15,1,0,1,-30,0,24,0,9
15,1,1,1,0,21,21,12,14
15,1,2,1,30,24,0,12,0
16,0,0,1,0,0,353,0,224
16,0,1,1,500,370,432,174,204
16,0,2,1,1000,353,0,152,0
16,1,0,1,-30,0,24,0,9
16,1,1,1,0,21,21,12,14
16,1,2,1,30,24,0,12,0
17,0,0,1,0,0,419,0,222
17,0,1,1,500,365,385,237,163
17,0,2,1,1000,387,0,227,0
17,1,0,1,-30,0,24,0,9
17,1,1,1,0,21,21,12,14
17,1,2,1,30,24,0,12,0
18,0,0,1,0,0,419,0,222
18,0,1,1,500,365,385,200,200
18,0,2,1,1000,387,0,227,0
18,1,0,1,-30,0,22,0,10
18,1,1,1,0,26,21,11,13
18,1,2,1,30,25,0,11,0
19,0,0,1,0,0,419,0,222
19,0,1,1,500,365,385,200,200
19,0,2,1,1000,387,0,227,0
19,1,0,1,-30,0,24,0,9
19,1,1,1,0,21,21,12,14
19,1,2,1,30,26,0,12,0
20,0,0,1,0,0,419,0,222
20,0,1,1,500,366,384,200,200
20,0,2,1,1000,387,0,227,0
20,1,0,1,-30,0,24,0,9
20,1,1,1,0,21,21,12,14
20,1,2,1,30,24,0,12,0
21,0,0,1,0,0,407,0,184
21,0,1,1,500,408,425,126,185
21,0,2,1,1000,371,0,208,0
21,1,0,1,-30,0,24,0,9
21,1,1,1,0,21,21,12,14
21,1,2,1,30,24,0,12,0
22,0,0,1,0,0,419,0,222
22,0,1,1,500,365,385,200,200
